model,context_tokens,batch_size,factor,endpoint,value,rom_per_user_tokens_s,speed_ratio_vs_fastest_gpu,partial_tco_ratio_vs_cheapest_gpu,binding_constraint,baseline_speed_ratio
DeepSeek-V4-Flash-0731,200000,32,weight encoding: released vs uniform MXFP4,endpoint_b,162815516380.0,282.4528636401894,0.5473880196576835,0.9346553937850081,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,index-cache bytes: FP4 to BF16,endpoint_a,166878536440,282.4528636401894,0.5599752201071526,0.9642455428745573,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,index-cache bytes: FP4 to BF16,endpoint_b,166878536440,282.4528636401894,0.5866133855656971,1.0264473716380444,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,main-KV bytes: production to BF16,endpoint_a,166878536440,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,main-KV bytes: production to BF16,endpoint_b,166878536440,282.4528636401894,0.5647800890435971,0.9754652207191459,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,GPU shared-KV reread amplification,ideal,1.0,282.4528636401894,0.562184238706154,0.9694037433086025,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,32,GPU shared-KV reread amplification,reread_stress,4.0,282.4528636401894,0.5989769591538159,1.0553171107508879,compute_C5,0.562184238706154
DeepSeek-V4-Flash-0731,200000,64,ROM array bandwidth (B/s/wafer),pessimistic,30000000000000.0,117.62480511436632,0.32282049459301915,0.5825866500557769,rom_full_array_read_C4,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,ROM array bandwidth (B/s/wafer),optimistic,2000000000000000.0,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,ROM low-precision peak compute (op/s/wafer; higher-precision roof scales proportionally),pessimistic,500000000000000.0,74.12224017061892,0.20342799470703854,0.367113792378253,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,ROM low-precision peak compute (op/s/wafer; higher-precision roof scales proportionally),optimistic,3e+16,332.0447669584248,0.9112946524529503,1.6447686431872242,rom_full_array_read_C4,0.3879135145889545
