study_slice,model,scenario,architecture,window_frames,cache_mode,clip_duration_s,denoise_calls,attention_density,noc_critical_cut_fraction,cache_remote_fraction,rom_row_reuse,tensor_operations,weight_read_bytes,mutable_hbm_bytes,rom_latency_s,same_compute_hbm_latency_s,rom_storage_speedup,generated_rate_fps,real_time_factor,main_compute_service_s,main_immutable_service_s,main_mutable_service_s,main_storage_service_s,main_noc_serialization_floor_s,main_largest_modeled_term
baseline,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-aggressive,32,causal_kv_cache,,,,0.5,0.0,whole_call,1490483714048,13679570656,3227516928.0,0.0002227447665686872,0.0005730064597294882,2.572480011793192,4489.443300530397,0.004454895331373744,6.925801912440678e-05,2.590984771867825e-06,8.452303770354561e-05,8.452303770354561e-05,0.00011264,noc_serialization_floor
baseline,MiniMax-H3,5.17s-base_dense,ROM-wafer-N4-class-HBM3e-conservative,,,5.166666666666667,49,1.0,0.5,0.0,whole_call,1.747961292578816e+17,1972716232256,0.0,107.65068375337788,107.65068375337788,1.0,1.151873779864488,20.8356162103312,104.90291981981062,0.003750328314236174,0.0,0.003750328314236174,2.7477639335672515,compute
baseline,MiniMax-H3,5.17s-base_dense,ROM-wafer-N4-class-HBM3e-central,,,5.166666666666667,49,1.0,0.5,0.0,whole_call,1.747961292578816e+17,1972716232256,0.0,23.829597036540363,23.829597036540363,1.0,5.203612961220372,4.612180071588457,20.850018400176726,0.000917762402900169,0.0,0.000917762402900169,2.9795786363636365,compute
baseline,MiniMax-H3,5.17s-base_dense,ROM-wafer-N4-class-HBM3e-aggressive,,,5.166666666666667,49,1.0,0.5,0.0,whole_call,1.747961292578816e+17,1972716232256,0.0,10.595566399845268,10.595566399845268,1.0,11.70300815648806,2.050754787066826,9.32096887206749,0.00038215839477049967,0.0,0.00038215839477049967,1.2745975277777777,compute
baseline,MiniMax-H3,5.17s-accelerated_best_case,ROM-wafer-N4-class-HBM3e-conservative,,,5.166666666666667,4,0.1,0.5,0.0,whole_call,6729315466280960.0,161038059776,0.0,4.060991784511588,4.060991784511588,1.0,30.53441291679771,0.7859984099054685,4.038561058523284,0.0003061492501417285,0.0,0.0003061492501417285,0.02243072598830409,compute
baseline,MiniMax-H3,5.17s-accelerated_best_case,ROM-wafer-N4-class-HBM3e-central,,,5.166666666666667,4,0.1,0.5,0.0,whole_call,6729315466280960.0,161038059776,0.0,0.8270087790203762,0.8270087790203762,1.0,149.93794884122366,0.16006621529426635,0.8026856881112853,7.491937982858522e-05,0.0,7.491937982858522e-05,0.024323090909090905,compute
baseline,MiniMax-H3,5.17s-accelerated_best_case,ROM-wafer-N4-class-HBM3e-aggressive,,,5.166666666666667,4,0.1,0.5,0.0,whole_call,6729315466280960.0,161038059776,0.0,0.3692442883404057,0.3692442883404057,1.0,335.821037496143,0.07146663645298174,0.3588394105626279,3.119660365473467e-05,0.0,3.119660365473467e-05,0.010404877777777776,compute
baseline,MiniMax-H3,10.12s-base_dense,ROM-wafer-N4-class-HBM3e-conservative,,,10.125,49,1.0,0.5,0.0,whole_call,5.231454979874816e+17,1972716232256,0.0,319.2753430716892,319.2753430716892,1.0,0.7610985479246277,31.533367216956957,313.96284610233243,0.003750328314236174,0.0,0.003750328314236174,5.312496969356725,compute
baseline,MiniMax-H3,10.12s-base_dense,ROM-wafer-N4-class-HBM3e-central,,,10.125,49,1.0,0.5,0.0,whole_call,5.231454979874816e+17,1972716232256,0.0,68.16248591697759,68.16248591697759,1.0,3.565010822756315,6.732097374516305,62.401800916977585,0.000917762402900169,0.0,0.000917762402900169,5.760685,compute
baseline,MiniMax-H3,10.12s-base_dense,ROM-wafer-N4-class-HBM3e-aggressive,,,10.125,49,1.0,0.5,0.0,whole_call,5.231454979874816e+17,1972716232256,0.0,30.360922793014364,30.360922793014364,1.0,8.003709296211214,2.99860965856932,27.896629765236586,0.00038215839477049967,0.0,0.00038215839477049967,2.464293027777778,compute
